Ticker,ShortName,Sector,Region,Country,AverageRating
BATSLN,Brit Amern Tob plc,Consumer Goods,Europe,United Kingdom,Lower Medium Grade
BBVSM,Bco Bilbao Vizcaya Argentaria S A,Financials,Europe,Spain,Upper Medium Grade
BCPN,Bco Comercial Portugues SA,Financials,Europe,Portugal,Lower Medium Grade
BELG,Kdom Belgium,Government,Europe,Belgium,Non-Investment Grade
BFCM,Bqe Federative Du Cr Mutuel,Financials,Europe,France,Upper Medium Grade
BKIR,Gov & Co Bk Irlnd,Financials,Europe,Ireland,Lower Medium Grade
BKTSM,Bankinter S A,Financials,Europe,Spain,Lower Medium Grade
BMW,Bay Motoren Werke AG,Consumer Goods,Europe,Germany,Upper Medium Grade
BNCBPI,Bco BPI SA,Financials,Europe,Portugal,Lower Medium Grade
BNP,BNP Paribas,Financials,Europe,France,Upper Medium Grade
BOCGP,BOC GROUP Ltd,Basic Materials,Europe,United Kingdom,Extremely Speculative
BOUY,BOUYGUES,Industrials,Europe,France,Lower Medium Grade
BPBL,BPB Ltd,Industrials,Europe,United Kingdom,Upper Medium Grade
BPLN,BP P.L.C.,Oil & Gas,Europe,United Kingdom,Lower Medium Grade
BRISA,Brisa Auto Estradas de Portugal S A,Industrials,Europe,Portugal,Extremely Speculative
BRITEL-BritTel,Brit Telecom PLC,Telecommunications,Europe,United Kingdom,High Grade
